Test Name,Test ID,Parameter Name,Unit,Ref Range Low,Ref Range High,Critical Low,Critical High
SEMEN ANALYSIS REPORT,T234,Non-Progressive Motility (NP),%,,,,
SEMEN ANALYSIS REPORT,T234,Immotility (IM),%,,,,
SEMEN ANALYSIS REPORT,T234,Normal Forms,%,,,,
SEMEN ANALYSIS REPORT,T234,Abnormal Forms,%,,,,
SEMEN ANALYSIS REPORT,T234,Pus Cells,/hpf,,,,
SGOT (AST),T236,SGOT (AST),IU/L,5,34,,
SGPT (ALT),T237,SGPT (ALT),IU/L,5,40,,
Sodium (Na),T238,Sodium,mmol/l,136,145,,
Total Albumin,T253,Albumin,g/dL,3.2,5.0,,
Total Cholesterol,T254,Cholesterol-Total,mg/dl,0,200,,
Typhidot Test,T261,Typhidot IgG Rapid Card,-,,,,
Typhidot Test,T261,Typhidot IgM Rapid Card (Enterocheck),-,,,,
Typhoid Antibody,T262,Typhoid IgM Antibody,IU/mL,0,1.0,,
Typhoid Antibody,T262,Typhoid IgG Antibody,IU/mL,0,2.0,,
UREA,T263,Urea,mg/dL,21,43,,
Uric Acid,T264,Uric Acid,mg/dL,2.3,6.1,,
URINE ACETONE - FASTING,T269,Urine Acetone Fasting,mg/dl,0,1,,
URINE ROUTINE EXAMINATION REPORT,T278,Colour,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Appearance,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Specific Gravity,-,1.01,1.03,,
URINE ROUTINE EXAMINATION REPORT,T278,Reaction (pH),-,5.5,7.6,,
URINE ROUTINE EXAMINATION REPORT,T278,Protein,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Glucose,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Ketones,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Bile Salts & Bile Pigments,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Nitrite,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Urobilinogen,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Blood,-,,,,
URINE ROUTINE EXAMINATION REPORT,T278,RBC,/hpf,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Pus Cells,/hpf,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Epithelial Cells,/hpf,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Casts Granular,/LPF,,,,
URINE ROUTINE EXAMINATION REPORT,T278,Crystals,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Colour,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Appearance,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Specific Gravity,-,1.01,1.03,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Reaction (pH),-,4.8,7.6,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Protein,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Glucose,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Ketones,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Bile Salts & Bile Pigments,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Nitrite,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Urobilinogen,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Blood,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,RBC,/hpf,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Pus Cells,/hpf,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Epithelial Cells,/hpf,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Casts Granular,/LPF,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Amorphous Deposit,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Spermatozoa,-,,,,
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Bacteria,-,,,,
